item_id,snapshot_date,status,price,updated_at
item_id_28,2025-02-17,active,129,2025-02-17 16:42:22.264970+00:00
item_id_20,2025-02-17,active,15,2025-02-17 16:42:22.264970+00:00
item_id_18,2025-02-17,active,24.99,2025-02-17 16:42:22.264970+00:00
item_id_19,2025-02-17,active,19.99,2025-02-17 16:42:22.264970+00:00
item_id_27,2025-02-17,active,999,2025-02-17 16:42:22.264970+00:00
item_id_13,2025-02-17,active,20,2025-02-17 16:42:22.264970+00:00
item_id_23,2025-02-17,active,249,2025-02-17 16:42:22.264970+00:00
item_id_1,2025-02-17,active,799,2025-02-17 16:42:22.264970+00:00
item_id_16,2025-02-17,active,699,2025-02-17 16:42:22.264970+00:00
item_id_4,2025-02-17,active,29.99,2025-02-17 16:42:22.264970+00:00
item_id_25,2025-02-17,active,35,2025-02-17 16:42:22.264970+00:00
item_id_5,2025-02-17,active,19.99,2025-02-17 16:42:22.264970+00:00
item_id_3,2025-02-17,active,999,2025-02-17 16:42:22.264970+00:00
item_id_11,2025-02-17,active,24.99,2025-02-17 16:42:22.264970+00:00
item_id_24,2025-02-17,active,70,2025-02-17 16:42:22.264970+00:00
item_id_7,2025-02-17,active,50,2025-02-17 16:42:22.264970+00:00
item_id_12,2025-02-17,active,19.99,2025-02-17 16:42:22.264970+00:00
item_id_14,2025-02-17,active,40,2025-02-17 16:42:22.264970+00:00
item_id_21,2025-02-17,active,30,2025-02-17 16:42:22.264970+00:00
item_id_29,2025-02-17,active,99,2025-02-17 16:42:22.264970+00:00
item_id_6,2025-02-17,active,25,2025-02-17 16:42:22.264970+00:00
item_id_26,2025-02-17,active,1099,2025-02-17 16:42:22.264970+00:00
item_id_22,2025-02-17,active,149,2025-02-17 16:42:22.264970+00:00
item_id_2,2025-02-17,active,899,2025-02-17 16:42:22.264970+00:00
item_id_17,2025-02-17,inactive,399,2025-02-17 16:42:22.264970+00:00
item_id_30,2025-02-17,inactive,22,2025-02-17 16:42:22.264970+00:00
item_id_10,2025-02-17,inactive,599,2025-02-17 16:42:22.264970+00:00
item_id_15,2025-02-17,inactive,499,2025-02-17 16:42:22.264970+00:00
item_id_8,2025-02-17,inactive,699,2025-02-17 16:42:22.264970+00:00
item_id_9,2025-02-17,active,799,2025-02-17 16:42:22.264970+00:00
